# x2c package index for x2c 0.14.0
# name version kind platform url sha256
blis 2.1 bundle darwin-arm64 https://github.com/gwf/x2c-staging/releases/download/candidate-fcdfc3dcef64095ad1d5f8349591508fcb5b564f-35546382278-1/blis-darwin-arm64-native.tar.gz cc066536a2324bb2cc3cfeb9f6d1468a9546865824f3ac1508dc6e668c7da9d9
blis 2.1 bundle darwin-x86_64 https://github.com/gwf/x2c-staging/releases/download/candidate-fcdfc3dcef64095ad1d5f8349591508fcb5b564f-35546382278-1/blis-darwin-x86_64-native.tar.gz 00597211e8f52ee097259fb4b9bf062fcb3caaf2b19217ebafe44a2d5dbf8d31
blis 2.1 bundle linux-aarch64 https://github.com/gwf/x2c-staging/releases/download/candidate-fcdfc3dcef64095ad1d5f8349591508fcb5b564f-35546382278-1/blis-linux-aarch64-native.tar.gz 8484d2936bfda0ccb39a852005e96cace6bc604aa964069360dd96e17558ef22
blis 2.1 bundle linux-x86_64 https://github.com/gwf/x2c-staging/releases/download/candidate-fcdfc3dcef64095ad1d5f8349591508fcb5b564f-35546382278-1/blis-linux-x86_64-native.tar.gz 8e1e119450d199192254bd7bbb56c921402df385499585162c0c3ba81a7d23f8
greet 0 source - https://github.com/gwf/x2c-staging/releases/download/candidate-fcdfc3dcef64095ad1d5f8349591508fcb5b564f-35546382278-1/greet-source.tar.gz e36ddd555017aec063e9a8a32920b9fd479acb24c9892d94772e7ed3c1d13f05
libcurl 8.22.0-openssl-3.6.4 bundle darwin-arm64 https://github.com/gwf/x2c-staging/releases/download/candidate-fcdfc3dcef64095ad1d5f8349591508fcb5b564f-35546382278-1/libcurl-darwin-arm64-native.tar.gz 68b4c0d2b2ebf589b139f1c8c8c56223ad7d81cd97e55a4c5fa024329d1b000f
libcurl 8.22.0-openssl-3.6.4 bundle darwin-x86_64 https://github.com/gwf/x2c-staging/releases/download/candidate-fcdfc3dcef64095ad1d5f8349591508fcb5b564f-35546382278-1/libcurl-darwin-x86_64-native.tar.gz 8372dcfab2b837f1ab332eff85dd90103cc79370b0f3d7f0bf3c107041908de6
libcurl 8.22.0-openssl-3.6.4 bundle linux-aarch64 https://github.com/gwf/x2c-staging/releases/download/candidate-fcdfc3dcef64095ad1d5f8349591508fcb5b564f-35546382278-1/libcurl-linux-aarch64-native.tar.gz eadcacf94914828414070faa339bb5038fa154e3d53a9f18e1874578f0487db9
libcurl 8.22.0-openssl-3.6.4 bundle linux-x86_64 https://github.com/gwf/x2c-staging/releases/download/candidate-fcdfc3dcef64095ad1d5f8349591508fcb5b564f-35546382278-1/libcurl-linux-x86_64-native.tar.gz eaaeda8533693cdcf5ffe087ec3365d19504ec9812673232b39438e2f8f3cf47
libuv 1.52.1 bundle darwin-arm64 https://github.com/gwf/x2c-staging/releases/download/candidate-fcdfc3dcef64095ad1d5f8349591508fcb5b564f-35546382278-1/libuv-darwin-arm64-native.tar.gz 3210899165e01af4d98d049884ab65726d56be89905b673cfbef6e3f697fca63
libuv 1.52.1 bundle darwin-x86_64 https://github.com/gwf/x2c-staging/releases/download/candidate-fcdfc3dcef64095ad1d5f8349591508fcb5b564f-35546382278-1/libuv-darwin-x86_64-native.tar.gz d7e6bb7b3bd2bcfeaa7a714dba606a7263ee1a6bc7db4ff50e34fb632b568f02
